rank,area,epmc_id,pmcid,doi,year,journal,pub_types,title,abstract
1,A1_imaging,37429892,PMC10333301,10.1038/s41598-023-37660-6,2023,Scientific reports,"Research Support, Non-U.S. Gov't; research-article; Journal Article","Green fabrication of chitosan nanoparticles using Lavendula angustifolia, optimization, characterization and in‑vitro antibiofilm activity.","Chitosan nanoparticles (CNPs) are promising polymeric nanoparticles with exceptional physicochemical, antimicrobial and biological characteristics. The CNPs are preferred for a wide range of applications in the food industry, cosmetics, agriculture, medical, and pharmaceutical fields due to their biocompatibility, biodegradability, eco-friendliness, and non-toxicity. In the current study, a biologically based approach was used to biofabricate CNPs using an aqueous extract of Lavendula angustifolia leaves as a reducing agent. The TEM images show that the CNPs were spherical in shape and ranged in size from 7.24 to 9.77 nm. FTIR analysis revealed the presence of several functional groups, including C-H, C-O, CONH2, NH2, C-OH and C-O-C. The crystalline nature of CNPs is demonstrated by X-ray diffraction. The thermogravimetric analysis revealed that CNPs are thermally stable. The CNPs' surface is positively charged and has a Zeta potential of 10 mV. For optimising CNPs biofabrication, a face-centered central composite design (FCCCD) with 50 experiments was used. The artificial intelligence-based approach was used to analyse, validate, and predict CNPs biofabrication. The optimal conditions for maximum CNPs biofabrication were theoretically determined using the desirability function and experimentally verified. The optimal conditions that maximize CNPs biofabrication (10.11 mg/mL) were determined to be chitosan concentration 0.5%, leaves extract 75%, and initial pH 4.24. The antibiofilm activity of CNPs was evaluated in‑vitro. The results show that 1500 μg/mL of CNPs suppressed P. aeruginosa, S. aureus and C. albicans biofilm formation by 91.83 ± 1.71%, 55.47 ± 2.12% and 66.4 ± 1.76%; respectively. The promising results of the current study in biofilm inhibition by necrotizing biofilm architecture, reducing its significant constituents and inhibiting microbial cell proliferation encourage their use as natural biosafe and biocompatible anti-adherent coating in antibiofouling membranes, medical bandage/tissues and food packaging materials."
2,A1_imaging,38001612,PMC10670125,10.3390/cancers15225352,2023,Cancers,research-article; Journal Article,Towards Realistic 3D Models of Tumor Vascular Networks.,"For reliable in silico or in vitro investigations in, for example, biosensing and drug delivery applications, accurate models of tumor vascular networks down to the capillary size are essential. Compared to images acquired with conventional medical imaging techniques, digitalized histological tumor slices have a higher resolution, enabling the delineation of capillaries. Volume rendering procedures can then be used to generate a 3D model. However, the preparation of such slices leads to misalignments in relative slice orientation between consecutive slices. Thus, image registration algorithms are necessary to re-align the slices. Here, we present an algorithm for the registration and reconstruction of a vascular network from histologic slices applied to 169 tumor slices. The registration includes two steps. First, consecutive images are incrementally pre-aligned using feature- and area-based transformations. Second, using the previous transformations, parallel registration for all images is enabled. Combining intensity- and color-based thresholds along with heuristic analysis, vascular structures are segmented. A 3D interpolation technique is used for volume rendering. This results in a 3D vascular network with approximately 400-450 vessels with diameters down to 25-30 µm. A delineation of vessel structures with close distance was limited in areas of high structural density. Improvement can be achieved by using images with higher resolution and or machine learning techniques."
3,A1_imaging,40335689,PMC12158774,10.1038/s41586-025-08985-1,2025,Nature,research-article; Journal Article,Light-microscopy-based connectomic reconstruction of mammalian brain tissue.,"The information-processing capability of the brain's cellular network depends on the physical wiring pattern between neurons and their molecular and functional characteristics. Mapping neurons and resolving their individual synaptic connections can be achieved by volumetric imaging at nanoscale resolution1,2 with dense cellular labelling. Light microscopy is uniquely positioned to visualize specific molecules, but dense, synapse-level circuit reconstruction by light microscopy has been out of reach, owing to limitations in resolution, contrast and volumetric imaging capability. Here we describe light-microscopy-based connectomics (LICONN). We integrated specifically engineered hydrogel embedding and expansion with comprehensive deep-learning-based segmentation and analysis of connectivity, thereby directly incorporating molecular information into synapse-level reconstructions of brain tissue. LICONN will allow synapse-level phenotyping of brain tissue in biological experiments in a readily adoptable manner."
4,A1_imaging,34576503,PMC8471570,10.3390/ma14185278,2021,"Materials (Basel, Switzerland)",research-article; Journal Article,Artificial Intelligence Aided Design of Tissue Engineering Scaffolds Employing Virtual Tomography and 3D Convolutional Neural Networks.,"Design requirements for different mechanical metamaterials, porous constructions and lattice structures, employed as tissue engineering scaffolds, lead to multi-objective optimizations, due to the complex mechanical features of the biological tissues and structures they should mimic. In some cases, the use of conventional design and simulation methods for designing such tissue engineering scaffolds cannot be applied because of geometrical complexity, manufacturing defects or large aspect ratios leading to numerical mismatches. Artificial intelligence (AI) in general, and machine learning (ML) methods in particular, are already finding applications in tissue engineering and they can prove transformative resources for supporting designers in the field of regenerative medicine. In this study, the use of 3D convolutional neural networks (3D CNNs), trained using digital tomographies obtained from the CAD models, is validated as a powerful resource for predicting the mechanical properties of innovative scaffolds. The presented AI-aided or ML-aided design strategy is believed as an innovative approach in area of tissue engineering scaffolds, and of mechanical metamaterials in general. This strategy may lead to several applications beyond the tissue engineering field, as we analyze in the discussion and future proposals sections of the research study."
5,A1_imaging,38340875,PMC10948263,10.1016/j.ejps.2024.106724,2024,European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,research-article; Journal Article,Investigating distributions of inhaled aerosols in the lungs of post-COVID-19 clusters through a unified imaging and modeling approach.,"BackgroundRecent studies, based on clinical data, have identified sex and age as significant factors associated with an increased risk of long COVID. These two factors align with the two post-COVID-19 clusters identified by a deep learning algorithm in computed tomography (CT) lung scans: Cluster 1 (C1), comprising predominantly females with small airway diseases, and Cluster 2 (C2), characterized by older individuals with fibrotic-like patterns. This study aims to assess the distributions of inhaled aerosols in these clusters.Methods140 COVID survivors examined around 112 days post-diagnosis, along with 105 uninfected, non-smoking healthy controls, were studied. Their demographic data and CT scans at full inspiration and expiration were analyzed using a combined imaging and modeling approach. A subject-specific CT-based computational model analysis was utilized to predict airway resistance and particle deposition among C1 and C2 subjects. The cluster-specific structure and function relationships were explored.ResultsIn C1 subjects, distinctive features included airway narrowing, a reduced homothety ratio of daughter over parent branch diameter, and increased airway resistance. Airway resistance was concentrated in the distal region, with a higher fraction of particle deposition in the proximal airways. On the other hand, C2 subjects exhibited airway dilation, an increased homothety ratio, reduced airway resistance, and a shift of resistance concentration towards the proximal region, allowing for deeper particle penetration into the lungs.ConclusionsThis study revealed unique mechanistic phenotypes of airway resistance and particle deposition in the two post-COVID-19 clusters. The implications of these findings for inhaled drug delivery effectiveness and susceptibility to air pollutants were explored."
6,A1_imaging,35472731,PMC9136609,10.1016/j.tranon.2022.101427,2022,Translational oncology,research-article; Journal Article,Machine-learning aided in situ drug sensitivity screening predicts treatment outcomes in ovarian PDX tumors.,"Long-term treatment outcomes for patients with high grade ovarian cancers have not changed despite innovations in therapies. There is no recommended assay for predicting patient response to second-line therapy, thus clinicians must make treatment decisions based on each individual patient. Patient-derived xenograft (PDX) tumors have been shown to predict drug sensitivity in ovarian cancer patients, but the time frame for intraperitoneal (IP) tumor generation, expansion, and drug screening is beyond that for tumor recurrence and platinum resistance to occur, thus results do not have clinical utility. We describe a drug sensitivity screening assay using a drug delivery microdevice implanted for 24 h in subcutaneous (SQ) ovarian PDX tumors to predict treatment outcomes in matched IP PDX tumors in a clinically relevant time frame. The SQ tumor response to local microdose drug exposure was found to be predictive of the growth of matched IP tumors after multi-week systemic therapy using significantly fewer animals (10 SQ vs 206 IP). Multiplexed immunofluorescence image analysis of phenotypic tumor response combined with a machine learning classifier could predict IP treatment outcomes against three second-line cytotoxic therapies with an average AUC of 0.91."
7,A1_imaging,37502104,PMC10368888,10.3389/fbioe.2023.1160760,2023,Frontiers in bioengineering and biotechnology,research-article; Journal Article,Can we achieve biomimetic electrospun scaffolds with gelatin alone?,"Introduction: Gelatin is a natural polymer commonly used in biomedical applications in combination with other materials due to its high biocompatibility, biodegradability, and similarity to collagen, principal protein of the extracellular matrix (ECM). The aim of this study was to evaluate the suitability of gelatin as the sole material to manufacture tissue engineering scaffolds by electrospinning. Methods: Gelatin was electrospun in nine different concentrations onto a rotating collector and the resulting scaffold's mechanical properties, morphology and topography were assessed using mechanical testing, scanning electron microscopy and white light interferometry, respectively. After characterizing the scaffolds, the effects of the concentration of the solvents and crosslinking agent were statistically evaluated with multivariate analysis of variance and linear regressions. Results: Fiber diameter and inter-fiber separation increased significantly when the concentration of the solvents, acetic acid (HAc) and dimethyl sulfoxide (DMSO), increased. The roughness of the scaffolds decreased as the concentration of dimethyl sulfoxide increased. The mechanical properties were significantly affected by the DMSO concentration. Immersed crosslinked scaffolds did not degrade until day 28. The manufactured gelatin-based electrospun scaffolds presented comparable mechanical properties to many human tissues such as trabecular bone, gingiva, nasal periosteum, oesophagus and liver tissue. Discussion: This study revealed for the first time that biomimetic electrospun scaffolds with gelatin alone can be produced for a significant number of human tissues by appropriately setting up the levels of factors and their interactions. These findings also extend statistical relationships to a form that would be an excellent starting point for future research that could optimize factors and interactions using both traditional statistics and machine learning techniques to further develop specific human tissue."
8,A1_imaging,38164885,PMC10966564,10.1002/advs.202304561,2024,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)","Research Support, Non-U.S. Gov't; research-article; Journal Article",Biohybrid Photonic Platform for Subcellular Stimulation and Readout of In Vitro Neurons.,"Targeted manipulation of neural activity via light has become an indispensable tool for gaining insights into the intricate processes governing single neurons and complex neural networks. To shed light onto the underlying interaction mechanisms, it is crucial to achieve precise control of individual neural activity, as well as a spatial read-out resolution on the nanoscale. Here, a versatile photonic platform with subcellular resolution for stimulation and monitoring of in-vitro neurons is demonstrated. Low-loss photonic waveguides are fabricated on glass substrates using nanoimprint lithography and featuring a loss of only -0.9 ± 0.2 dB cm-1 at 489 nm and are combined with optical fiber-based waveguide-access and backside total internal reflection fluorescence microscopy. Neurons are grown on the bio-functionalized photonic chip surface and, expressing the light-sensitive ion channel Channelrhodopsin-2, are stimulated within the evanescent field penetration depth of 57 nm of the biocompatible waveguides. The versatility and cost-efficiency of the platform, along with the possible subcellular resolution, enable tailor-made investigations of neural interaction dynamics with defined spatial control and high throughput."
9,A1_imaging,41310679,PMC12752004,10.1186/s12903-025-07400-5,2025,BMC oral health,Comparative Study; research-article; Journal Article,"Comparative analysis of nerve fibers, PIEZO family and bone structural parameters difference surrounding dental implants.","BackgroundNerve fibers embedded within bone tissue play a pivotal role in regulating osseous homeostasis. Emerging evidence indicates the presence of neural networks surrounding dental implants. The functional integrity of these nerve fibers is maintained through various ion channels, particularly those belonging to the PIEZO family. This study aims to: (1) characterize the spatial distribution patterns of nerve fibers and PIEZO family around dental implants, and (2) investigate their potential correlations with bone microarchitecture surrounding dental implants.MethodsMale rat models with right maxillary first molar dental implants were established. Following a 4-week osseointegration period, spatial variations in nerve fiber density and PIEZO family expression were quantitatively assessed across 8 anatomically defined buccolingual regions. Complementary Micro-CT analyses were performed to evaluate three-dimensional bone microarchitecture surrounding dental implants.ResultsThe study revealed regional heterogeneity in nerve fiber density across the 4 anatomical zones. Nerve fiber density showed no significant difference between peri-implant and adjacent tissues. While PIEZO-positive fibers generally mirrored overall nerve fiber distribution, the apical region exhibited a significantly higher proportion of PIEZO2-positive fibers in peri-implant bone versus adjacent bone.ConclusionsPeri-implant regions exhibited higher nerve fiber density and enhanced bone microarchitecture, suggesting neurogenic modulation of osseointegration dynamics. Mechanistically, the PIEZO family may mediate this neuro-osseous crosstalk during bone remodeling around implants. These findings offer novel perspectives on the mechanistic basis of peri-implant bone adaptation."
10,A1_imaging,41079552,PMC12511074,10.3389/frai.2025.1577027,2025,Frontiers in artificial intelligence,brief-report; Journal Article,Fluorescent marker prediction for non-invasive optical imaging in bovine satellite cells using deep learning.,"Assessing the quality of bovine satellite cells (BSCs) is vital for advancing tissue engineered muscle constructs with applications in sustainable protein research. In this study, we present a non-invasive deep learning approach for optical imaging that predicts fluorescent markers directly from brightfield microscopy images of BSC cultures. Using a convolutional neural network based on the U-Net architecture, our method simultaneously predicts two key fluorescent signals, specifically DAPI and Pax7, which serve as biomarkers for cell abundance and differentiation status. An image preprocessing pipeline featuring fluorescent signal denoising was implemented to enhance prediction performance and consistency. A dataset comprising 48 biological replicates was evaluated using statistical metrics such as the Pearson r (correlation coefficient), the mean squared error (MSE), and the structural similarity Index (SSIM). For DAPI, denoising improved the Pearson r from 0.065 to 0.212 and SSIM from 0.047 to 0.761 (with MSE increasing from 9.507 to 41.571). For Pax7, the Pearson r increased from 0.020 to 0.124 and MSE decreased from 44.753 to 18.793, while SSIM remained low, reflecting inherent biological heterogeneity. Furthermore, enhanced visualization techniques, including color mapping and image overlay, improved the interpretability of the predicted outputs. These findings underscore the importance of optimized data preprocessing and demonstrate the potential of AI to advance non-invasive optical imaging for cellular quality assessment in tissue biology. This work also contributes to the broader integration of machine learning and computer vision methods in biological and agricultural applications."
