rank,area,epmc_id,pmcid,doi,year,journal,pub_types,title,abstract
1,A5_autonomous,41080894,PMC12511971,10.1021/acspolymersau.5c00071,2025,ACS polymers Au,research-article; Journal Article,Exploiting Machine Learning and Automated Synthesis in Continuous Flow for Process Optimization of the Organocatalyzed Ring-Opening Polymerization of l‑Lactide.,"The ring-opening polymerization (ROP) of lactide is a well-established route for the synthesis of polylactide (PLA), a degradable and biobased polymer with applications in biomedical materials, packaging, and additive manufacturing. However, optimizing reaction conditions for efficient PLA synthesis remains challenging, with its production currently dwarfed by traditional petrochemical derived commodity polymers. In this work, we employ a continuous flow reactor to systematically explore a reaction space defined by catalyst concentration, residence time, and initiator concentration for the organocatalyzed ROP of l-lactide performed at room temperature, using 1,8-diaza-bicyclo​[5.4.0]​undec-7-ene (DBU) as catalyst, benzyl alcohol as initiator and dichloromethane as solvent. Through high-throughput experimentation coupled with online characterization, a robust data set was generated and processed with a Kernel-Based Regularized Least Squares (KRLS) model to capture system kinetics and the dependencies between initial conditions and polymer characteristics. Multiobjective Pareto optimization was subsequently used to identify conditions that maximize polymer production rate, and these conditions were experimentally validated to confirm the model accurately predicts optimal reaction conditions. Pareto-optimized parameters yield a high conversion and well-controlled PLA with low dispersities. This study highlights the advantages of continuous flow polymerization for precise control over reaction kinetics and demonstrates the potential of machine-learning-assisted optimization for efficient and scalable PLA-based materials' exploration."
2,A5_autonomous,41002022,PMC12587402,10.1021/acs.molpharmaceut.5c00591,2025,Molecular pharmaceutics,research-article; Journal Article,Bayesian Optimization for Efficient Multiobjective Formulation Development of Biologics.,"Biologics, including emerging engineered formats, can often exhibit poor developability profiles, complicating their translation into successful therapeutics. While formulation design can substantially mitigate some developability issues, it represents a highly complex optimization challenge due to the need to simultaneously improve multiple biophysical properties, navigate a vast design space, and account for nonlinear or synergistic interactions among excipients. Traditional design of experiments methods can reduce experimental effort but are limited by difficulties in managing high-order complexities and a propensity to become trapped in local optima. In response, machine learning techniques combined with (high-throughput) screenings have emerged as powerful strategies to overcome these limitations, dramatically reducing the number of required experiments. The ability of these models to capture nonlinear relationships and interactions among multiple features enables efficient navigation in a high-dimensional design space. We present a combined Bayesian optimization and experimental screening method that concurrently optimizes three key biophysical properties of a monoclonal antibody─melting temperature Tm, diffusion interaction parameter kD, and stability against air-water interfaces. We demonstrate its effectiveness through the identification of highly optimized formulation conditions in just 33 experiments. Furthermore, our approach can account for essential formulation constraints such as osmolality and pH, ensuring practical applicability. We show that beyond optimization, our method provides valuable insights into the influence of individual excipients on each biophysical property across formulations. Furthermore, it highlights the need to balance trade-offs between conflicting properties, such as the opposing effects of pH on Tm and kD."
3,A5_autonomous,40860982,PMC12376025,10.1063/5.0271073,2025,APL machine learning,research-article; Journal Article,AutoSAS: A new human-aside-the-loop paradigm for automated SAS fitting for high throughput and autonomous experimentation.,"The advancement of artificial-intelligence driven autonomous experiments demands physics-based modeling and decision-making processes, not only to improve the accuracy of the experimental trajectory but also to increase trust by allowing transparent human-machine collaboration. High-quality structural characterization techniques (e.g., x ray, neutron, or static light scattering) are a particularly relevant example of this need: they provide invaluable information but are challenging to analyze without expert oversight. Here, we introduce AutoSAS, a novel framework for human-aside-the-loop automated data classification. AutoSAS leverages human-defined candidate models, high-throughput combinatorial fitting, and information-theoretic model selection to generate both classification results and quantitative structural descriptors. We implement AutoSAS in an open-source package designed for use with the Autonomous Formulation Laboratory for x-ray and neutron scattering-based optimization of multi-component liquid formulations. In a first application, we leveraged a set of expert defined candidate models to classify, refine the structure, and track transformations in a model injectable drug carrier system. We evaluated four model selection methods and benchmarked them against an optimized machine learning classifier, and the best approach was one that balanced quality of the fit and complexity of the model. AutoSAS not only corroborated the critical micelle concentration boundary identified in previous experiments but also discovered a second structural transition boundary not identified by the previous methods. These results demonstrate the potential of AutoSAS to enhance autonomous experimental workflows by providing robust, interpretable model selection, paving the way for more reliable and insightful structural characterization in complex formulations."
4,A5_autonomous,40363126,PMC12074357,10.3390/s25092688,2025,"Sensors (Basel, Switzerland)",research-article; Journal Article,C2L3-Fusion: An Integrated 3D Object Detection Method for Autonomous Vehicles.,"Accurate 3D object detection is crucial for autonomous vehicles (AVs) to navigate safely in complex environments. This paper introduces a novel fusion framework that integrates Camera image-based 2D object detection using YOLOv8 and LiDAR data-based 3D object detection using PointPillars, hence named C2L3-Fusion. Unlike conventional fusion approaches, which often struggle with feature misalignment, C2L3-Fusion enhances spatial consistency and multi-level feature aggregation, significantly improving detection accuracy. Our method outperforms state-of-the-art approaches such as YoPi-CLOCs Fusion Network, standalone YOLOv8, and standalone PointPillars, achieving mean Average Precision (mAP) scores of 89.91% (easy), 79.26% (moderate), and 78.01% (hard) on the KITTI dataset. Successfully implemented on the Nvidia Jetson AGX Xavier embedded platform, C2L3-Fusion maintains real-time performance while enhancing robustness, making it highly suitable for self-driving vehicles. This paper details the methodology, mathematical formulations, algorithmic advancements, and real-world testing of C2L3-Fusion, offering a comprehensive solution for 3D object detection in autonomous navigation."
5,A5_autonomous,39776654,PMC11701726,10.1039/d4sc06837h,2025,Chemical science,research-article; Journal Article,Late-stage installation and functionalization of alkyl pyridiniums: a general HTE amenable strategy to access diverse aryl alanine containing macrocyclic peptides.,"This manuscript describes a strategy to readily access diverse aryl and homoaryl alanine-containing pharmaceutically relevant macrocyclic peptides. A two-step sequence involving the late-stage installation of the pyridinium functionality on macrocyclic peptides followed by reductive couplings was implemented. These transformations are amenable to microscale high-throughput experimentation (HTE) and enable rapid access to aryl alanine-containing macrocyclic peptides that would otherwise be inaccessible via solid-phase peptide synthesis using commercially available amino acids. Numerous aryl and heteroaryl derivatives can be effectively used in these reactions. In addition, a systematic investigation was undertaken using an ""informer"" set of macrocyclic peptides which revealed the compatibility of the late-stage diversification with peptides containing diverse side chain functionalities."
6,A5_autonomous,34476057,PMC8372320,10.1039/d1sc02150h,2021,Chemical science,research-article; Journal Article,Combining machine learning and high-throughput experimentation to discover photocatalytically active organic molecules.,"Light-absorbing organic molecules are useful components in photocatalysts, but it is difficult to formulate reliable structure-property design rules. More than 100 million unique chemical compounds are documented in the PubChem database, and a significant sub-set of these are π-conjugated, light-absorbing molecules that might in principle act as photocatalysts. Nature has used natural selection to evolve photosynthetic assemblies; by contrast, our ability to navigate the enormous potential search space of organic photocatalysts in the laboratory is limited. Here, we integrate experiment, computation, and machine learning to address this challenge. A library of 572 aromatic organic molecules was assembled with diverse compositions and structures, selected on the basis of availability in our laboratory, rather than more sophisticated criteria. This training library was then assessed experimentally for sacrificial photocatalytic hydrogen evolution using a high-throughput, automated method. Quantum chemical calculations and machine learning were used to visualise, interpret, and ultimately to predict the photocatalytic activities of these molecules, covering a much broader chemical space than for previous polymer photocatalyst libraries. By applying unsupervised learning to the molecular structures, we identified structural features that were common in molecules with high catalytic activity. Further analysis using calculated molecular descriptors within a suite of supervised classification algorithms revealed that light absorption, exciton electron affinity, electron affinity, exciton binding energy, and singlet-triplet energy gap had correlations with the photocatalytic performance. These trained predictive models can be used in future studies as filters to deprioritise or discard would-be low-activity candidate molecules from experiments, and to prioritize more favourable candidates. As a demonstration, we used virtual in silico experiments to show that it was possible to halve the experimental cost of finding 50% of the most active photocatalysts by using the machine learning model as an experimental advisor. We further showed that the ML advisor trained on the 572-molecule library could be used to make predictions for an unseen set of 96 molecules, achieving equivalent predictive accuracies to those in the initial training set. This marks a step toward the machine-learning assisted discovery of molecular organic photocatalysts and the approach might also be applied to problems beyond photocatalytic hydrogen evolution, such as CO2 reduction and photoredox chemistry."
7,A5_autonomous,41158981,PMC12557465,10.1039/d5dd00042d,2025,Digital discovery,research-article; Journal Article,"An automated platform for ""on-demand"" high-speed catalyst synthesis by flame spray pyrolysis.","Flame-Spray Pyrolysis (FSP) is a versatile synthetic aerosol method to produce inorganic mixed-metal nanoparticles, frequently used for catalysts, battery materials, or chromophores. This work introduces a novel automated robotic platform based on FSP - AutoFSP - to accelerate materials discovery and optimization while providing standardized, machine-readable documentation of all synthesis steps. The manuscript outlines the design considerations for both hardware and software of AutoFSP, as well as the platform's performance in terms of speed, accuracy, and repeatability. AutoFSP has demonstrated significant time savings by reducing operator workload by a factor of two to three, while also improving documentation and decreasing the chance of human experimental error. AutoFSP achieves high compositional accuracy and precision across two orders of magnitude. The relative error of the effective molar metal loading x in Zn x Zr1-x O y and In x Zr1-x O y nanoparticles produced with the setup remains within ± 5%. The platform showcases the potential of automation in chemical discovery and exemplifies how established manual synthetic methods can be adapted for robotic processes before integration into a materials acceleration platform (MAP)."
8,A5_autonomous,40575310,PMC12188418,10.1021/jacsau.5c00377,2025,JACS Au,research-article; Journal Article,Inverse Design of Block Polymer Materials with Desired Nanoscale Structure and Macroscale Properties.,"The rational design of novel polymers with tailored material properties has been a long-standing challenge in the field due to the large number of possible polymer design variables. To accelerate this design process, there is a critical need to develop novel tools to aid in the inverse design process and to efficiently explore the high-dimensional polymer design space. Optimizing macroscale material properties for polymeric systems is even more challenging than inorganics and small molecules as these properties are dictated by features on a multitude of length scales, ranging from the chosen monomer chemistries to the chain level design to larger-scale (nm to microns) domain structures. In this work, we present an efficient high-throughput in-silico based framework to effectively design high-performance polymers (blends, copolymers) with desired multiscale nanostructure and macroscale properties which we call RAPSIDY 2.0 - Rapid Analysis of Polymer Structure and Inverse Design strategY 2.0. This new version of RAPSIDY builds upon our previous work, RAPSIDY 1.0, which focused purely on identifying polymer designs that stabilized a desired nanoscale morphology. In RAPSIDY 2.0 we use a combination of molecular dynamics (MD) simulations and Bayesian optimization driven active learning to optimally query high-dimensional polymer design spaces and propose promising design candidates that simultaneously stabilize a selected nanoscale morphology and exhibit desired macroscale material properties (e.g., tensile strength, thermal conductivity). We utilize MD simulations with polymer chains preplaced into selected nanoscale morphologies and perform virtual experiments to determine the stability of the chosen polymer design within the target morphology and calculate the desired macroscale material properties. Our methodology directly addresses the unique challenge associated with copolymers whose macroscale properties are a function of both their chain design and mesoscale morphology, which are coupled. We showcase the efficacy of our methodology in engineering high-performance blends of block copolymers that exhibit (1) high thermal conductivity and (2) high tensile strength. We also discuss the impact of our work in accelerating the design of novel polymeric materials for targeted applications."
9,A5_autonomous,40078899,PMC11896811,10.1002/hsr2.70562,2025,Health science reports,research-article; Journal Article,Project-Based Approach as Methodology to Improve Academic Performance of Medical School Students Within the Research Line Teaching Course: A Quasi-Experimental Study.,"Background and aimsTraditional teaching methods in medical education often fail to engage students or foster critical research skills required for evidence-based medicine. Project-based learning (PBL) is widely recognized for promoting active learning and improving academic performance, although its application in research-focused medical courses remains underexplored, especially in low-resource settings. This study aimed to evaluate the effectiveness of PBL in enhancing academic performance and originality compared to traditional literature review-based assessments.MethodsA quasi-experimental study was conducted between March 11, 2024 and May 31, 2024, with 179 twelfth-semester medical students divided into two groups: the experimental group (PBL approach, n = 108) and the control group (literature review-based approach, n = 71). Students in the PBL group completed the full research cycle, including topic selection, data collection, analysis, research paper formulation, while the control group focused on synthesizing existing literature. Academic performance (course grades) and originality (Turnitin similarity percentage) were measured. Data were analyzed using descriptive statistics and independent samples t-tests, with a significance threshold of p ResultsThe PBL group demonstrated significantly higher academic performance (mean: 82.5, median: 85) compared to the control group (mean: 66.5, median: 63.75; t(177) = -20.53, p t(177) = 13.74, p . 4.81), reflecting the individualized nature of PBL.ConclusionThis study confirms that PBL significantly enhances academic performance and fosters originality among medical students, particularly in research-focused courses. The findings underscore the potential of PBL as a transformative approach to medical education, addressing gaps in traditional methods while aligning with global trends in evidence-based practice and academic integrity. PBL is recommended as an adaptable and effective strategy, especially in resource-limited educational settings."
10,A5_autonomous,40473909,PMC12391189,10.1007/s10439-025-03752-9,2025,Annals of biomedical engineering,Comparative Study; research-article; Journal Article,Enhancing Bone Scaffold Fabrication: A Comparative Study of Manual Casting and Automated 3D Bioprinting.,"While fabrication of bone scaffolds is important for the development of tissue engineering, traditional techniques have typically been prone to either scaling or reproducibility issues. This paper highlights a strategy for automated 3D printing and bioprinting techniques that enhance precision and efficiency in the production of PLGA-HA scaffolds. We realized significant improvements in efficiency, reproducibility, and scalability through optimization of 3D printing parameters, improvement of material handling, and refinement of the fabrication process. Precise measurement consequently minimized material waste; the introduction of a mesh filter allowed for high-throughput experimentation without compromising the integrity of individual scaffolds, streamlining the workflow. Combining automated casting with state-of-the-art 3D bioprinting, our experimental methodology precisely applied the bioactive materials, reducing the processing time fivefold and enhancing precision. Besides, automated casting produced thicker, better-quality scaffolds averaging 0.02354 g, which is against 0.01169 g using the manual approach, effectively doubling the retention of the PLGA-HA coating on a PVA mold. Excellent cell viability and adhesion on automated scaffolds have been further underlined for application in tissue engineering during in vitro studies using multipotent mesenchymal stromal cells. Although conventional techniques, such as injection molding, are standard for large lots, 3D printing has advantages in scaffold fabrication regarding control over geometry and homogeneous material properties. Equally important, these characteristics are necessary to achieve repeatable and up-scaled experimental results."
