rank,area,epmc_id,pmcid,doi,year,journal,pub_types,title,abstract
1,A4_tissue,40203060,PMC12011309,10.1371/journal.pcbi.1012997,2025,PLoS computational biology,"research-article; Research Support, U.S. Gov't, Non-P.H.S.; Journal Article",Transcriptomic landscape around wound bed defines regenerative versus non-regenerative outcomes in mouse digit amputation.,"In the mouse distal terminal phalanx (P3), it remains mystery why amputation at less than 33% of the digit results in regeneration, while amputation exceeding 67% leads to non-regeneration. Unraveling the molecular mechanisms underlying this disparity could provide crucial insights for regenerative medicine. In this study, we aim to investigate the tissues within the wound bed to understand the tissue microenvironment associated with regenerative versus non-regenerative outcomes. We employed a P3-specific amputation model in mice, integrated with time-series RNA-seq and a macrophage assay challenged with pro- and anti-inflammatory cytokines, to explore these mechanisms. Our findings revealed that non-regenerative digits exhibit a greater intense early transcriptional response in the wound bed compared to regenerative ones. Furthermore, early macrophage phenotypes differ distinctly between regenerative and non-regenerative outcomes. Regenerative digits also display unique co-expression modules related to Bone Morphogenetic Protein 2 (Bmp2). The differentially expressed genes (DEGs) between regenerative and non-regenerative digits are enriched in targets of several transcription factors, such as HOXA11 and HOXD11 from the HOX gene family, showing a time-dependent pattern of enrichment. These transcription factors, known for their roles in bone regeneration, skeletal patterning, osteoblast activity, fracture healing, angiogenesis, and key signaling pathways, may act as master regulators of the regenerative gene signatures. Additionally, we developed a deep learning AI model capable of predicting post-amputation time and level from RNA-seq data, indicating that the regenerative probability may be ""encoded"" in the transcriptomic response to amputation."
2,A4_tissue,40303932,PMC12040341,10.26502/josm.511500190,2025,Journal of orthopaedics and sports medicine,research-article; Journal Article,Innovative Approaches for the Treatment of Spinal Disorders: A Comprehensive Review.,"This comprehensive review explores the latest advancements in the management of spinal disorders, including minimally invasive surgical techniques, treatment of complex deformities, disc replacement technologies, and non-surgical approaches. The review highlights the potential of innovations such as robotic-assisted surgeries, regenerative medicine, and artificial intelligence to enhance precision, reduce recovery times, and improve patient outcomes. It also discusses the integration of wearable technologies and personalized medicine in tailoring treatments. Challenges such as high costs, accessibility issues, and limited long-term data are critically analyzed, alongside gaps in research, including a lack of diversity in study populations and insufficient economic evaluations. Future directions emphasize the need for multidisciplinary collaboration to develop durable, accessible, and personalized solutions to address the global burden of spinal disorders."
3,A4_tissue,36991817,PMC10057383,10.3390/s23063106,2023,"Sensors (Basel, Switzerland)",research-article; Journal Article,Human Arm Workout Classification by Arm Sleeve Device Based on Machine Learning Algorithms.,"Wearables have been applied in the field of fitness in recent years to monitor human muscles by recording electromyographic (EMG) signals. Understanding muscle activation during exercise routines allows strength athletes to achieve the best results. Hydrogels, which are widely used as wet electrodes in the fitness field, are not an option for wearable devices due to their characteristics of being disposable and skin-adhesion. Therefore, a lot of research has been conducted on the development of dry electrodes that can replace hydrogels. In this study, to make it wearable, neoprene was impregnated with high-purity SWCNTs to develop a dry electrode with less noise than hydrogel. Due to the impact of COVID-19, the demand for workouts to improve muscle strength, such as home gyms and personal trainers (PT), has increased. Although there are many studies related to aerobic exercise, there is a lack of wearable devices that can assist in improving muscle strength. This pilot study proposed the development of a wearable device in the form of an arm sleeve that can monitor muscle activity by recording EMG signals of the arm using nine textile-based sensors. In addition, some machine learning models were used to classify three arm target movements such as wrist curl, biceps curl, and dumbbell kickback from the EMG signals recorded by fiber-based sensors. The results obtained show that the EMG signal recorded by the proposed electrode contains less noise compared to that collected by the wet electrode. This was also evidenced by the high accuracy of the classification model used to classify the three arms workouts. This work classification device is an essential step towards wearable devices that can replace next-generation PT."
4,A4_tissue,35083408,PMC8753532,10.18699/vj21.103,2021,Vavilovskii zhurnal genetiki i selektsii,research-article; Journal Article,CLARITY and Light-Sheet microscopy sample preparation in application to human cerebral organoids.,"Cerebral organoids are three-dimensional cell-culture systems that represent a unique experimental model reconstructing early events of human neurogenesis in vitro in health and various pathologies. The most commonly used approach to studying the morphological parameters of organoids is immunohistochemical analysis; therefore, the three-dimensional cytoarchitecture of organoids, such as neural networks or asymmetric internal organization, is difficult to reconstruct using routine approaches. Immunohistochemical analysis of biological objects is a universal method in biological research. One of the key stages of this method is the production of cryo- or paraffin serial sections of samples, which is a very laborious and time-consuming process. In addition, slices represent only a tiny part of the object under study; three-dimensional reconstruction from the obtained serial images is an extremely complex process and often requires expensive special programs for image processing. Unfortunately, staining and microscopic examination of samples are difficult due to their low permeability and a high level of autofluorescence. Tissue cleaning technologies combined with Light-Sheet microscopy allows these challenges to be overcome. CLARITY is one of the tissue preparation techniques that makes it possible to obtain opaque biological objects transparent while maintaining the integrity of their internal structures. This method is based on a special sample preparation, during which lipids are removed from cells and replaced with hydrogel compounds such as acrylamide, while proteins and nucleic acids remain intact. CLARITY provides researchers with a unique opportunity to study three-dimensional biological structures while preserving their internal organization, including whole animals or embryos, individual organs and artificially grown organoids, in particular cerebral organoids. This protocol summarizes an optimization of CLARITY conditions for human brain organoids and the preparation of Light-Sheet microscopy samples."
5,A4_tissue,37711443,PMC10497969,10.3389/fbioe.2023.1225495,2023,Frontiers in bioengineering and biotechnology,research-article; Journal Article,Contributions of deep learning to automated numerical modelling of the interaction of electric fields and cartilage tissue based on 3D images.,"Electric fields find use in tissue engineering but also in sensor applications besides the broad classical application range. Accurate numerical models of electrical stimulation devices can pave the way for effective therapies in cartilage regeneration. To this end, the dielectric properties of the electrically stimulated tissue have to be known. However, knowledge of the dielectric properties is scarce. Electric field-based methods such as impedance spectroscopy enable determining the dielectric properties of tissue samples. To develop a detailed understanding of the interaction of the employed electric fields and the tissue, fine-grained numerical models based on tissue-specific 3D geometries are considered. A crucial ingredient in this approach is the automated generation of numerical models from biomedical images. In this work, we explore classical and artificial intelligence methods for volumetric image segmentation to generate model geometries. We find that deep learning, in particular the StarDist algorithm, permits fast and automatic model geometry and discretisation generation once a sufficient amount of training data is available. Our results suggest that already a small number of 3D images (23 images) is sufficient to achieve 80% accuracy on the test data. The proposed method enables the creation of high-quality meshes without the need for computer-aided design geometry post-processing. Particularly, the computational time for the geometrical model creation was reduced by half. Uncertainty quantification as well as a direct comparison between the deep learning and the classical approach reveal that the numerical results mainly depend on the cell volume. This result motivates further research into impedance sensors for tissue characterisation. The presented approach can significantly improve the accuracy and computational speed of image-based models of electrical stimulation for tissue engineering applications."
6,A4_tissue,38977828,PMC11231322,10.1038/s41598-024-66591-z,2024,Scientific reports,research-article; Journal Article,"Noninvasive, label-free image approaches to predict multimodal molecular markers in pluripotency assessment.","Manufacturing regenerative medicine requires continuous monitoring of pluripotent cell culture and quality assessment while eliminating cell destruction and contaminants. In this study, we employed a novel method to monitor the pluripotency of stem cells through image analysis, avoiding the traditionally used invasive procedures. This approach employs machine learning algorithms to analyze stem cell images to predict the expression of pluripotency markers, such as OCT4 and NANOG, without physically interacting with or harming cells. We cultured induced pluripotent stem cells under various conditions to induce different pluripotent states and imaged the cells using bright-field microscopy. Pluripotency states of induced pluripotent stem cells were assessed using invasive methods, including qPCR, immunostaining, flow cytometry, and RNA sequencing. Unsupervised and semi-supervised learning models were applied to evaluate the results and accurately predict the pluripotency of the cells using only image analysis. Our approach directly links images to invasive assessment results, making the analysis of cell labeling and annotation of cells in images by experts dispensable. This core achievement not only contributes for safer and more reliable stem cell research but also opens new avenues for real-time monitoring and quality control in regenerative medicine manufacturing. Our research fills an important gap in the field by providing a viable, noninvasive alternative to traditional invasive methods for assessing pluripotency. This innovation is expected to make a significant contribution to improving regenerative medicine manufacturing because it will enable a more detailed and feasible understanding of cellular status during the manufacturing process."
7,A4_tissue,37672883,PMC10602575,10.1002/advs.202303922,2023,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",research-article; Journal Article,"MXene-Induced Flexible, Water-Retention, Semi-Interpenetrating Network Hydrogel for Ultra-Stable Strain Sensors with Real-Time Gesture Recognition.","As water-saturated polymer networks, hydrogels are a growing family of soft materials that have recently become promising candidates for flexible electronics application. However, it remains still difficult for hydrogel-based strain sensors to achieve the organic unity of mechanical properties, electrical conductivity, and water retention. To address this challenge, based on the template, the excellent properties of MXene nanoflakes (rich surface functional groups, high specific surface area, hydrophilicity, and conductivity) are fully utilized in this study to prepare the P(AA-co-AM)/MXene@PDADMAC semi-interpenetrating network (semi-IPN) hydrogel. The proposed hydrogel continues to exhibit excellent strain response and flexibility after 30 days of storage at room temperature, and its performance do not decrease after 1100 cycles. Considering these characteristics, a hydrogel-based device for converting sign language into Chinese characters is successfully developed and optimized using machine learning. Therefore, this study provides novel insight and application directions for hydrogel families."
8,A4_tissue,37280224,PMC10244346,10.1038/s41421-023-00543-1,2023,Cell discovery,research-article; Journal Article,A live-cell image-based machine learning strategy for reducing variability in PSC differentiation systems.,"The differentiation of pluripotent stem cells (PSCs) into diverse functional cell types provides a promising solution to support drug discovery, disease modeling, and regenerative medicine. However, functional cell differentiation is currently limited by the substantial line-to-line and batch-to-batch variabilities, which severely impede the progress of scientific research and the manufacturing of cell products. For instance, PSC-to-cardiomyocyte (CM) differentiation is vulnerable to inappropriate doses of CHIR99021 (CHIR) that are applied in the initial stage of mesoderm differentiation. Here, by harnessing live-cell bright-field imaging and machine learning (ML), we realize real-time cell recognition in the entire differentiation process, e.g., CMs, cardiac progenitor cells (CPCs), PSC clones, and even misdifferentiated cells. This enables non-invasive prediction of differentiation efficiency, purification of ML-recognized CMs and CPCs for reducing cell contamination, early assessment of the CHIR dose for correcting the misdifferentiation trajectory, and evaluation of initial PSC colonies for controlling the start point of differentiation, all of which provide a more invulnerable differentiation method with resistance to variability. Moreover, with the established ML models as a readout for the chemical screen, we identify a CDK8 inhibitor that can further improve the cell resistance to the overdose of CHIR. Together, this study indicates that artificial intelligence is able to guide and iteratively optimize PSC differentiation to achieve consistently high efficiency across cell lines and batches, providing a better understanding and rational modulation of the differentiation process for functional cell manufacturing in biomedical applications."
9,A4_tissue,35269711,PMC8910760,10.3390/ijms23052568,2022,International journal of molecular sciences,research-article; Journal Article,"Protein Expression of AEBP1, MCM4, and FABP4 Differentiate Osteogenic, Adipogenic, and Mesenchymal Stromal Stem Cells.","Mesenchymal stem cells (MSCs) gain an increasing focus in the field of regenerative medicine due to their differentiation abilities into chondrocytes, adipocytes, and osteoblastic cells. However, it is apparent that the transformation processes are extremely complex and cause cellular heterogeneity. The study aimed to characterize differences between MSCs and cells after adipogenic (AD) or osteoblastic (OB) differentiation at the proteome level. Comparative proteomic profiling was performed using tandem mass spectrometry in data-independent acquisition mode. Proteins were quantified by deep neural networks in library-free mode and correlated to the Molecular Signature Database (MSigDB) hallmark gene set collections for functional annotation. We analyzed 4108 proteins across all samples, which revealed a distinct clustering between MSCs and cell differentiation states. Protein expression profiling identified activation of the Peroxisome proliferator-activated receptors (PPARs) signaling pathway after AD. In addition, two distinct protein marker panels could be defined for osteoblastic and adipocytic cell lineages. Hereby, overexpression of AEBP1 and MCM4 for OB as well as of FABP4 for AD was detected as the most promising molecular markers. Combination of deep neural network and machine-learning algorithms with data-independent mass spectrometry distinguish MSCs and cell lineages after adipogenic or osteoblastic differentiation. We identified specific proteins as the molecular basis for bone formation, which could be used for regenerative medicine in the future."
10,A4_tissue,37512721,PMC10386166,10.3390/mi14071410,2023,Micromachines,research-article; Journal Article,A Neural Network Approach to Reducing the Costs of Parameter-Setting in the Production of Polyethylene Oxide Nanofibers.,"Nanofibers, which are formed by the electrospinning process, are used in a variety of applications. For this purpose, a specific diameter suited for each application is required, which is achieved by varying a set of parameters. This parameter adjustment process is empirical and works by trial and error, causing high input costs and wasting time and financial resources. In this work, an artificial neural network model is presented to predict the diameter of polyethylene nanofibers, based on the adjustment of 15 parameters. The model was trained from 105 records from data obtained from the literature and was then validated with nine nanofibers that were obtained and measured in the laboratory. The average error between the actual results was 2.29%. This result differs from those taken in an evaluation of the dataset. Therefore, the importance of increasing the dataset and the validation using independent data is highlighted."
